Vardas              Pavarde             ND1    Egz    
Pranas              Kazlaukas           5      3      
Osvaldas            zukauskas           9      7      
Jonas               Kavaliauskas        9      5      
Emanuelis           Kavaliauskas        3      7      
Jacekas             Sakalauskas         3      6      
Motiejus            Pocius              2      1      
Ignacas             Butkus              3      2      
Benius              zukauskas           10     3      
Vitalis             zukauskas           4      4      
Felicijus           Petrauskas          4      5      
Galmantas           Kazlaukas           7      7      
Valerijonas         Sakalauskas         2      9      
Jovitas             Kateiva             6      8      
Balys               Kazlaukas           7      2      
Herkus              Kavaliauskas        6      8      
Jovitas             Jankauskas          2      7      
Gedminas            Butkus              5      10     
Achilas             Stankevicius        10     2      
Augustinas          Kazlaukas           8      6      
Maksas              Urbonas             9      9      
Lauras              Vasiliauskas        7      10     
Leonas              Butkus              8      8      
